K_Iterations,ExecutionTime
1,2.72763e-06
2,3.13208e-06
3,3.99611e-06
4,5.32293e-06
5,6.65205e-06
6,7.98859e-06
7,9.31292e-06
8,1.06359e-05
9,1.195e-05
10,1.32987e-05
11,1.45823e-05
12,1.5874e-05
13,1.72172e-05
14,1.84537e-05
15,1.99019e-05
16,2.12864e-05
17,2.25857e-05
18,2.413e-05
19,2.5258e-05
20,2.69179e-05
21,2.80262e-05
22,2.92549e-05
23,3.05588e-05
24,3.18908e-05
25,3.33713e-05
26,3.45739e-05
27,3.58805e-05
28,3.72253e-05
29,3.86049e-05
30,4.03809e-05
31,4.14664e-05
32,4.2531e-05
33,4.37442e-05
34,4.51964e-05
35,4.65121e-05
36,4.78943e-05
37,4.91712e-05
38,5.05151e-05
39,5.18516e-05
40,5.31316e-05
41,5.44942e-05
42,5.59085e-05
43,5.72609e-05
44,5.84978e-05
45,6.00391e-05
46,6.18958e-05
47,6.40425e-05
48,6.38118e-05
49,6.51079e-05
50,6.66514e-05
