Number,BitLength,TimeSec
524309,20,0.0000006070
524341,20,0.0000006210
524347,20,0.0000006500
524351,20,0.0000006880
524353,20,0.0000005680
8388617,24,0.0000007250
8388619,24,0.0000007740
8388623,24,0.0000007910
8388637,24,0.0000007750
8388673,24,0.0000007120
134217757,28,0.0000009560
134217773,28,0.0000009550
134217779,28,0.0000010380
134217781,28,0.0000009850
134217799,28,0.0000009960
2147483659,32,0.0000011760
2147483693,32,0.0000011780
2147483713,32,0.0000011020
2147483743,32,0.0000012590
2147483777,32,0.0000011810
34359738421,36,0.0000014190
34359738451,36,0.0000014270
34359738467,36,0.0000014750
34359738473,36,0.0000013930
34359738493,36,0.0000014880
549755813911,40,0.0000016580
549755813927,40,0.0000016560
549755813933,40,0.0000016300
549755813951,40,0.0000017440
549755813963,40,0.0000016610
8796093022237,44,0.0000018890
8796093022247,44,0.0000019160
8796093022261,44,0.0000019400
8796093022313,44,0.0000019250
8796093022349,44,0.0000019180
140737488355333,48,0.0000021030
140737488355337,48,0.0000021050
140737488355369,48,0.0000021320
140737488355393,48,0.0000020720
140737488355441,48,0.0000021970
2251799813685269,52,0.0000024510
2251799813685313,52,0.0000023840
2251799813685329,52,0.0000024220
2251799813685349,52,0.0000024630
2251799813685413,52,0.0000024800
36028797018963971,56,0.0000027260
36028797018963979,56,0.0000028000
36028797018964019,56,0.0000028740
36028797018964051,56,0.0000028150
36028797018964073,56,0.0000027770
576460752303423619,60,0.0000030680
576460752303423649,60,0.0000030450
576460752303423733,60,0.0000032410
576460752303423737,60,0.0000032420
576460752303423749,60,0.0000030530
9223372036854775837,64,0.0000034840
9223372036854775907,64,0.0000035240
9223372036854775931,64,0.0000036540
9223372036854775939,64,0.0000034820
9223372036854775963,64,0.0000035760
