Number,BitLength,TimeSec
524309,20,0.0000020000
524341,20,0.0000010000
524347,20,0.0000020000
524351,20,0.0000010000
524353,20,0.0000020000
2097169,22,0.0000040000
2097211,22,0.0000030000
2097223,22,0.0000030000
2097229,22,0.0000030000
2097257,22,0.0000030000
8388617,24,0.0000060000
8388619,24,0.0000050000
8388623,24,0.0000050000
8388637,24,0.0000050000
8388673,24,0.0000060000
33554467,26,0.0000100000
33554473,26,0.0000100000
33554501,26,0.0000100000
33554503,26,0.0000100000
33554509,26,0.0000100000
134217757,28,0.0000200000
134217773,28,0.0000200000
134217779,28,0.0000200000
134217781,28,0.0000200000
134217799,28,0.0000200000
536870923,30,0.0000580000
536870951,30,0.0000400000
536871001,30,0.0000410000
536871017,30,0.0000400000
536871019,30,0.0000400000
2147483659,32,0.0000810000
2147483693,32,0.0000820000
2147483713,32,0.0000820000
2147483743,32,0.0000820000
2147483777,32,0.0000820000
8589934609,34,0.0001660000
8589934621,34,0.0001670000
8589934627,34,0.0001890000
8589934631,34,0.0001660000
8589934651,34,0.0001670000
34359738421,36,0.0003410000
34359738451,36,0.0003730000
34359738467,36,0.0003400000
34359738473,36,0.0003410000
34359738493,36,0.0003520000
137438953481,38,0.0006980000
137438953501,38,0.0007150000
137438953513,38,0.0007180000
137438953541,38,0.0007140000
137438953567,38,0.0007000000
549755813911,40,0.0015330000
549755813927,40,0.0014530000
549755813933,40,0.0014490000
549755813951,40,0.0016000000
549755813963,40,0.0015220000
2199023255579,42,0.0029730000
2199023255617,42,0.0029460000
2199023255623,42,0.0029460000
2199023255633,42,0.0029870000
2199023255677,42,0.0029670000
8796093022237,44,0.0060120000
8796093022247,44,0.0060210000
8796093022261,44,0.0060160000
8796093022313,44,0.0060320000
8796093022349,44,0.0060480000
35184372088891,46,0.0122610000
35184372088907,46,0.0123120000
35184372088961,46,0.0122920000
35184372088967,46,0.0128840000
35184372088979,46,0.0127320000
140737488355333,48,0.0273490000
140737488355337,48,0.0280740000
140737488355369,48,0.0275580000
140737488355393,48,0.0279870000
140737488355441,48,0.0278620000
562949953421381,50,0.0541090000
562949953421503,50,0.0513200000
562949953421573,50,0.0509920000
562949953421591,50,0.0511040000
562949953421641,50,0.0506930000
