Number,BitLength,TimeSec
524309,20,0.0000030000
524341,20,0.0000020000
524347,20,0.0000020000
524351,20,0.0000020000
524353,20,0.0000010000
2097169,22,0.0000020000
2097211,22,0.0000020000
2097223,22,0.0000030000
2097229,22,0.0000030000
2097257,22,0.0000030000
8388617,24,0.0000050000
8388619,24,0.0000060000
8388623,24,0.0000050000
8388637,24,0.0000050000
8388673,24,0.0000050000
33554467,26,0.0000100000
33554473,26,0.0000100000
33554501,26,0.0000100000
33554503,26,0.0000090000
33554509,26,0.0000090000
134217757,28,0.0000190000
134217773,28,0.0000200000
134217779,28,0.0000200000
134217781,28,0.0000200000
134217799,28,0.0000200000
536870923,30,0.0000400000
536870951,30,0.0000400000
536871001,30,0.0000390000
536871017,30,0.0000390000
536871019,30,0.0000400000
2147483659,32,0.0000900000
2147483693,32,0.0000810000
2147483713,32,0.0000810000
2147483743,32,0.0000920000
2147483777,32,0.0000810000
8589934609,34,0.0001640000
8589934621,34,0.0001720000
8589934627,34,0.0001650000
8589934631,34,0.0001770000
8589934651,34,0.0001650000
34359738421,36,0.0003370000
34359738451,36,0.0003360000
34359738467,36,0.0003540000
34359738473,36,0.0003400000
34359738493,36,0.0003360000
137438953481,38,0.0006920000
137438953501,38,0.0007000000
137438953513,38,0.0006860000
137438953541,38,0.0006860000
137438953567,38,0.0006940000
549755813911,40,0.0014150000
549755813927,40,0.0014750000
549755813933,40,0.0014140000
549755813951,40,0.0014290000
549755813963,40,0.0014160000
2199023255579,42,0.0028960000
2199023255617,42,0.0028960000
2199023255623,42,0.0031150000
2199023255633,42,0.0032480000
2199023255677,42,0.0031130000
8796093022237,44,0.0062950000
8796093022247,44,0.0058980000
8796093022261,44,0.0059160000
8796093022313,44,0.0059050000
8796093022349,44,0.0059290000
35184372088891,46,0.0121250000
35184372088907,46,0.0120900000
35184372088961,46,0.0121050000
35184372088967,46,0.0121080000
35184372088979,46,0.0121550000
140737488355333,48,0.0247160000
140737488355337,48,0.0248230000
140737488355369,48,0.0246850000
140737488355393,48,0.0247360000
140737488355441,48,0.0247050000
562949953421381,50,0.0502140000
562949953421503,50,0.0501020000
562949953421573,50,0.0501450000
562949953421591,50,0.0500610000
562949953421641,50,0.0499720000
